starting the training:
Epoch 25700/50000, Loss: 0.7493
Epoch 25800/50000, Loss: 0.7492
Epoch 25900/50000, Loss: 0.7492
Epoch 26000/50000, Loss: 0.7492
Epoch 26100/50000, Loss: 0.7492
Epoch 26200/50000, Loss: 0.7491
Epoch 26300/50000, Loss: 0.7491
Epoch 26400/50000, Loss: 0.7491
Epoch 26500/50000, Loss: 0.7490
Epoch 26600/50000, Loss: 0.7490
Epoch 26700/50000, Loss: 0.7490
Epoch 26800/50000, Loss: 0.7489
Epoch 26900/50000, Loss: 0.7489
Epoch 27000/50000, Loss: 0.7489
Epoch 27100/50000, Loss: 0.7489
Epoch 27200/50000, Loss: 0.7488
Epoch 27300/50000, Loss: 0.7488
Epoch 27400/50000, Loss: 0.7488
Epoch 27500/50000, Loss: 0.7487
Epoch 27600/50000, Loss: 0.7487
Epoch 27700/50000, Loss: 0.7487
Epoch 27800/50000, Loss: 0.7487
Epoch 27900/50000, Loss: 0.7486
Epoch 28000/50000, Loss: 0.7486
Epoch 28100/50000, Loss: 0.7486
Epoch 28200/50000, Loss: 0.7486
Epoch 28300/50000, Loss: 0.7485
Epoch 28400/50000, Loss: 0.7485
Epoch 28500/50000, Loss: 0.7485
Epoch 28600/50000, Loss: 0.7485
Epoch 28700/50000, Loss: 0.7484
Epoch 28800/50000, Loss: 0.7484
Epoch 28900/50000, Loss: 0.7484
Epoch 29000/50000, Loss: 0.7484
Epoch 29100/50000, Loss: 0.7483
Epoch 29200/50000, Loss: 0.7483
Epoch 29300/50000, Loss: 0.7483
Epoch 29400/50000, Loss: 0.7483
Epoch 29500/50000, Loss: 0.7482
Epoch 29600/50000, Loss: 0.7482
Epoch 29700/50000, Loss: 0.7482
Epoch 29800/50000, Loss: 0.7482
Epoch 29900/50000, Loss: 0.7482
Epoch 30000/50000, Loss: 0.7481
Epoch 30100/50000, Loss: 0.7481
Epoch 30200/50000, Loss: 0.7481
Epoch 30300/50000, Loss: 0.7481
Epoch 30400/50000, Loss: 0.7480
Epoch 30500/50000, Loss: 0.7480
Epoch 30600/50000, Loss: 0.7480
Epoch 30700/50000, Loss: 0.7480
Epoch 30800/50000, Loss: 0.7480
Epoch 30900/50000, Loss: 0.7479
Epoch 31000/50000, Loss: 0.7479
Epoch 31100/50000, Loss: 0.7479
Epoch 31200/50000, Loss: 0.7479
Epoch 31300/50000, Loss: 0.7479
Epoch 31400/50000, Loss: 0.7478
Epoch 31500/50000, Loss: 0.7478
Epoch 31600/50000, Loss: 0.7478
Epoch 31700/50000, Loss: 0.7478
Epoch 31800/50000, Loss: 0.7478
Epoch 31900/50000, Loss: 0.7478
Epoch 32000/50000, Loss: 0.7477
Epoch 32100/50000, Loss: 0.7477
Epoch 32200/50000, Loss: 0.7477
Epoch 32300/50000, Loss: 0.7477
Epoch 32400/50000, Loss: 0.7477
Epoch 32500/50000, Loss: 0.7476
Epoch 32600/50000, Loss: 0.7476
Epoch 32700/50000, Loss: 0.7476
Epoch 32800/50000, Loss: 0.7476
Epoch 32900/50000, Loss: 0.7476
Epoch 33000/50000, Loss: 0.7476
Epoch 33100/50000, Loss: 0.7475
Epoch 33200/50000, Loss: 0.7475
Epoch 33300/50000, Loss: 0.7475
Epoch 33400/50000, Loss: 0.7475
Epoch 33500/50000, Loss: 0.7475
Epoch 33600/50000, Loss: 0.7475
Epoch 33700/50000, Loss: 0.7474
Epoch 33800/50000, Loss: 0.7474
Epoch 33900/50000, Loss: 0.7474
Epoch 34000/50000, Loss: 0.7474
Epoch 34100/50000, Loss: 0.7474
Epoch 34200/50000, Loss: 0.7474
Epoch 34300/50000, Loss: 0.7473
Epoch 34400/50000, Loss: 0.7473
Epoch 34500/50000, Loss: 0.7473
Epoch 34600/50000, Loss: 0.7473
Epoch 34700/50000, Loss: 0.7473
Epoch 34800/50000, Loss: 0.7473
Epoch 34900/50000, Loss: 0.7473
Epoch 35000/50000, Loss: 0.7472
Epoch 35100/50000, Loss: 0.7472
Epoch 35200/50000, Loss: 0.7472
Epoch 35300/50000, Loss: 0.7472
Epoch 35400/50000, Loss: 0.7472
Epoch 35500/50000, Loss: 0.7472
Epoch 35600/50000, Loss: 0.7472
Epoch 35700/50000, Loss: 0.7471
Epoch 35800/50000, Loss: 0.7471
Epoch 35900/50000, Loss: 0.7471
Epoch 36000/50000, Loss: 0.7471
Epoch 36100/50000, Loss: 0.7471
Epoch 36200/50000, Loss: 0.7471
Epoch 36300/50000, Loss: 0.7471
Epoch 36400/50000, Loss: 0.7470
Epoch 36500/50000, Loss: 0.7470
Epoch 36600/50000, Loss: 0.7470
Epoch 36700/50000, Loss: 0.7470
Epoch 36800/50000, Loss: 0.7470
Epoch 36900/50000, Loss: 0.7470
Epoch 37000/50000, Loss: 0.7470
Epoch 37100/50000, Loss: 0.7470
Epoch 37200/50000, Loss: 0.7469
Epoch 37300/50000, Loss: 0.7469
Epoch 37400/50000, Loss: 0.7469
Epoch 37500/50000, Loss: 0.7469
Epoch 37600/50000, Loss: 0.7469
Epoch 37700/50000, Loss: 0.7469
Epoch 37800/50000, Loss: 0.7469
Epoch 37900/50000, Loss: 0.7469
Epoch 38000/50000, Loss: 0.7468
Epoch 38100/50000, Loss: 0.7468
Epoch 38200/50000, Loss: 0.7468
Epoch 38300/50000, Loss: 0.7468
Epoch 38400/50000, Loss: 0.7468
Epoch 38500/50000, Loss: 0.7468
Epoch 38600/50000, Loss: 0.7468
Epoch 38700/50000, Loss: 0.7468
Epoch 38800/50000, Loss: 0.7467
Epoch 38900/50000, Loss: 0.7467
Epoch 39000/50000, Loss: 0.7467
Epoch 39100/50000, Loss: 0.7467
Epoch 39200/50000, Loss: 0.7467
Epoch 39300/50000, Loss: 0.7467
Epoch 39400/50000, Loss: 0.7467
Epoch 39500/50000, Loss: 0.7467
Epoch 39600/50000, Loss: 0.7467
Epoch 39700/50000, Loss: 0.7466
Epoch 39800/50000, Loss: 0.7466
Epoch 39900/50000, Loss: 0.7466
Epoch 40000/50000, Loss: 0.7466
Epoch 40100/50000, Loss: 0.7466
Epoch 40200/50000, Loss: 0.7466
Epoch 40300/50000, Loss: 0.7466
Epoch 40400/50000, Loss: 0.7466
Epoch 40500/50000, Loss: 0.7466
Epoch 40600/50000, Loss: 0.7466
Epoch 40700/50000, Loss: 0.7465
Epoch 40800/50000, Loss: 0.7465
Epoch 40900/50000, Loss: 0.7465
Epoch 41000/50000, Loss: 0.7465
Epoch 41100/50000, Loss: 0.7465
Epoch 41200/50000, Loss: 0.7465
Epoch 41300/50000, Loss: 0.7465
Epoch 41400/50000, Loss: 0.7465
Epoch 41500/50000, Loss: 0.7465
Epoch 41600/50000, Loss: 0.7465
Epoch 41700/50000, Loss: 0.7464
Epoch 41800/50000, Loss: 0.7464
Epoch 41900/50000, Loss: 0.7464
Epoch 42000/50000, Loss: 0.7464
Epoch 42100/50000, Loss: 0.7464
Epoch 42200/50000, Loss: 0.7464
